2MASS,logL,Umag,Bmag,Vmag,Imag,U-B,B-V,UV
05171729-6801360,3.776,18.441,16.776,15.066,13.407,1.665,1.71,4
04501105-6849281,3.797,17.964,16.299,14.802,13.411,1.665,1.497,4
05470054-6912489,3.734,18.366,16.701,15.182,13.55,1.665,1.519,4
05380387-6957375,3.667,18.535,16.87,15.217,13.632,1.665,1.653,4
04550592-6903329,4.414,16.923,15.257,13.555,11.801,1.666,1.702,1
05204613-6826473,4.017,17.594,15.928,14.307,12.725,1.666,1.621,0
05041231-6640005,4.03,18.035,16.369,14.549,12.807,1.666,1.82,4
05482913-6724474,3.945,17.778,16.112,14.486,13.085,1.666,1.626,4
05151556-6722101,3.787,18.45,16.784,15.107,13.416,1.666,1.677,0
05251044-6655374,3.718,17.914,16.248,14.939,13.552,1.666,1.309,0
05183407-6827330,3.676,18.501,16.835,15.2,13.695,1.666,1.635,0
05393844-6638191,3.573,18.378,16.712,15.342,13.936,1.666,1.37,4
05483573-7026053,4.011,17.744,16.077,14.398,12.759,1.667,1.679,4
05382667-6800455,3.956,17.758,16.091,14.479,12.931,1.667,1.612,4
05012072-6907278,3.773,18.02,16.353,14.718,13.461,1.667,1.635,4
05130709-6718242,4.612,16.787,15.12,13.294,11.245,1.667,1.826,4
05505683-6807155,4.446,16.854,15.187,13.382,99.999,1.667,1.805,4
05205789-6745295,4.451,17.21,15.543,13.676,11.833,1.667,1.867,0
05063136-6827323,3.948,17.742,16.075,14.531,13.022,1.667,1.544,4
05310892-6731213,3.953,17.986,16.318,14.689,12.497,1.668,1.629,4
04491031-6952289,3.904,17.928,16.26,14.701,13.155,1.668,1.559,4
05420277-6744506,3.566,18.49,16.822,15.35,13.868,1.668,1.472,3
05005711-6746216,3.729,18.417,16.749,15.042,13.531,1.668,1.707,4
05303796-6700548,4.592,16.674,15.005,13.205,9.515,1.669,1.8,4
05051481-7007137,4.026,17.49,15.821,14.395,12.911,1.669,1.426,4
05383924-6703559,3.766,18.388,16.719,15.161,13.527,1.669,1.558,0
05031324-6901224,5.06,16.103,14.434,12.546,10.781,1.669,1.888,4
05091115-6552056,4.324,17.148,15.478,13.733,12.091,1.67,1.745,4
05420743-6911437,4.503,17.149,15.479,13.631,10.149,1.67,1.848,4
04434290-6746555,4.358,17.347,15.677,13.817,11.924,1.67,1.86,4
05261082-6946226,4.156,17.28,15.61,14.167,12.821,1.67,1.443,4
04522848-6712420,4.017,17.777,16.107,14.48,12.837,1.67,1.627,4
05180461-6846532,3.655,18.248,16.578,15.039,13.71,1.67,1.539,0
05261310-6910033,3.707,18.329,16.658,15.224,13.606,1.671,1.434,0
05233159-6951413,3.586,18.558,16.887,15.442,13.912,1.671,1.445,4
05215903-6545305,4.775,16.343,14.672,12.843,99.999,1.671,1.829,4
05345020-6645475,4.238,17.07,15.399,13.793,11.308,1.671,1.606,4
05005442-6909016,3.757,18.077,16.406,14.763,13.498,1.671,1.643,4
05035314-7149118,3.608,18.336,16.664,15.208,13.677,1.672,1.456,0
05083980-6812054,4.757,17.319,15.647,13.956,11.469,1.672,1.691,1
05311603-6707104,4.445,16.91,15.238,13.51,10.339,1.672,1.728,4
04570710-6705586,4.17,17.414,15.742,14.095,12.431,1.672,1.647,4
05374568-7016157,4.095,17.692,16.02,14.284,12.675,1.672,1.736,4
05321921-6816267,3.774,18.538,16.866,15.252,13.509,1.672,1.614,4
05522314-6912025,3.753,18.192,16.52,14.989,13.516,1.672,1.531,4
04535398-7038341,3.56,18.709,17.037,15.484,13.952,1.672,1.553,4
05281715-6939427,3.689,18.514,16.842,15.416,14.585,1.672,1.426,0
05092637-6824033,3.938,17.863,16.19,14.562,13.051,1.673,1.628,0
05431510-6717490,4.305,17.213,15.54,13.802,12.2,1.673,1.738,4
05215051-6818154,3.723,18.202,16.529,15.005,13.477,1.673,1.524,0
05213271-6919534,3.618,18.306,16.633,15.299,13.784,1.673,1.334,4
05194260-7204461,3.806,17.968,16.294,14.885,13.254,1.674,1.409,4
05081510-6739101,3.83,18.207,16.533,14.91,13.302,1.674,1.623,4
05110671-6924164,4.371,17.095,15.42,13.654,12.006,1.675,1.766,4
05154702-7043222,3.862,18.012,16.337,14.739,13.201,1.675,1.598,4
04572501-7000489,3.758,18.175,16.5,14.969,13.505,1.675,1.531,4
04481680-7009155,3.654,18.535,16.86,15.251,13.698,1.675,1.609,4
05072989-6738145,4.356,17.063,15.387,13.696,99.999,1.676,1.691,4
04485125-6913329,4.272,17.282,15.606,13.986,12.294,1.676,1.62,4
05095903-7004309,3.937,17.652,15.976,14.471,12.816,1.676,1.505,0
05030503-6902201,3.941,17.556,15.88,14.405,13.147,1.676,1.475,0
05040805-6653340,4.197,17.563,15.886,14.19,12.511,1.677,1.696,0
05084794-7011302,3.984,17.595,15.918,14.304,12.908,1.677,1.614,0
05342832-6831411,3.592,18.476,16.799,15.303,13.91,1.677,1.496,4
04534443-6932351,3.558,19.123,17.446,15.89,14.2,1.677,1.556,4
05321861-6618075,4.564,16.663,14.986,13.196,99.999,1.677,1.79,4
05485315-7023471,3.863,17.967,16.289,14.739,13.257,1.678,1.55,4
05431790-6748309,4.009,17.517,15.839,14.348,12.879,1.678,1.491,4
05135134-6929400,4.166,17.265,15.587,13.963,12.416,1.678,1.624,0
05073337-6831181,4.01,17.361,15.683,14.12,12.602,1.678,1.563,4
05383577-6920595,3.599,18.549,16.871,15.357,13.916,1.678,1.514,4
04553832-6708080,4.418,17.232,15.553,13.733,11.72,1.679,1.82,4
05082911-7044245,4.18,17.467,15.788,14.064,12.155,1.679,1.724,0
05101954-6613363,3.804,17.892,16.213,14.819,13.136,1.679,1.394,3
04554827-6924065,5.043,16.063,14.384,12.426,99.999,1.679,1.958,4
05414331-6928154,4.892,16.623,14.944,12.976,10.806,1.679,1.968,4
05322054-6916008,4.761,16.753,15.074,13.266,11.035,1.679,1.808,4
05380655-6928452,4.668,16.983,15.304,13.426,11.341,1.679,1.878,4
04570041-6659484,4.294,17.512,15.833,14.061,12.243,1.679,1.772,0
05260640-6657217,4.09,17.393,15.714,14.16,12.293,1.679,1.554,0
05283659-6842384,5.071,16.353,14.674,12.706,11.505,1.679,1.968,4
05075303-7119513,3.949,17.71,16.031,14.424,13.198,1.679,1.607,4
05243621-7153552,3.641,18.556,16.877,15.25,13.767,1.679,1.627,4
04572983-6854128,3.612,18.367,16.688,15.174,13.782,1.679,1.514,4
04560892-6914443,4.339,17.25,15.57,13.835,12.031,1.68,1.735,1
04561689-6625168,3.911,18.066,16.386,14.773,13.053,1.68,1.613,4
05103651-6834221,3.684,18.24,16.56,14.986,13.611,1.68,1.574,0
05132748-6933046,3.588,18.732,17.052,15.363,13.79,1.68,1.689,4
05411564-6943301,3.632,18.533,16.853,15.289,13.85,1.68,1.564,4
05155400-6823376,4.003,17.667,15.987,14.363,12.95,1.68,1.624,4
04551580-6720449,3.933,17.952,16.272,14.649,13.068,1.68,1.623,4
05274841-6600367,4.045,17.691,16.01,14.424,12.498,1.681,1.586,4
04564265-6700187,3.89,18.115,16.434,14.731,13.149,1.681,1.703,4
05115475-6853127,3.6,18.404,16.723,15.145,13.814,1.681,1.578,4
05281723-6849368,4.209,17.378,15.696,14.033,11.349,1.682,1.663,0
04583586-7121238,3.834,18.074,16.392,14.819,13.24,1.682,1.573,4
05474504-6652413,3.724,18.062,16.38,14.956,13.528,1.682,1.424,4
05341529-6626040,4.883,16.915,15.232,13.445,11.536,1.683,1.787,4
05422754-6953036,3.842,18.05,16.367,14.85,13.197,1.683,1.517,4
05000617-7106262,3.797,18.229,16.546,14.922,13.379,1.683,1.624,4
05322478-6645277,4.602,16.707,15.024,13.323,99.999,1.683,1.701,4
05402624-6849400,3.651,18.638,16.955,15.395,13.815,1.683,1.56,4
05344783-7007050,3.76,18.089,16.405,14.839,13.453,1.684,1.566,4
05155065-6839214,3.643,18.33,16.646,15.131,13.711,1.684,1.515,4
05044475-6900508,3.687,18.208,16.524,15.072,13.722,1.684,1.452,4
05075778-6533072,3.889,18.378,16.694,14.935,13.217,1.684,1.759,4
05000667-7050333,3.86,18.113,16.428,14.739,13.189,1.685,1.689,4
05150984-6920081,3.733,18.417,16.732,14.993,13.502,1.685,1.739,0
05134389-6722481,4.706,16.576,14.89,13.101,11.108,1.686,1.789,0
05222496-7157253,3.711,18.26,16.574,15.048,13.496,1.686,1.526,0
05031102-6600344,4.251,17.317,15.63,13.961,11.676,1.687,1.669,4
05482513-6717524,4.057,17.448,15.761,14.21,12.701,1.687,1.551,4
05254033-6616237,3.855,18.166,16.479,14.98,13.235,1.687,1.499,4
05134914-6606341,3.781,18.506,16.819,15.213,13.525,1.687,1.606,4
05043527-6854269,3.673,18.256,16.569,15.196,13.789,1.687,1.373,4
05360242-7024478,3.661,18.468,16.781,15.142,13.857,1.687,1.639,4
05442333-6719042,4.372,17.721,16.033,14.256,12.067,1.688,1.777,4
04545858-6652380,4.168,17.887,16.199,14.458,12.458,1.688,1.741,0
05054052-6625229,4.002,17.621,15.933,14.38,12.82,1.688,1.553,0
05515109-6731209,3.701,18.291,16.603,15.071,13.973,1.688,1.532,4
04515670-6959078,4.168,17.663,15.975,14.336,12.45,1.688,1.639,4
04505606-6913426,3.76,18.568,16.88,15.331,13.561,1.688,1.549,4
05410044-6726073,3.654,18.295,16.607,15.169,13.621,1.688,1.438,4
05212904-6728498,3.698,18.417,16.729,15.145,13.714,1.688,1.584,0
04512055-6929138,5.056,16.133,14.444,12.396,10.181,1.689,2.048,3
04550502-6640163,4.235,17.487,15.798,14.034,12.289,1.689,1.764,4
05412080-6804293,4.02,17.592,15.903,14.32,12.798,1.689,1.583,4
04534542-6713376,4.528,16.863,15.174,13.346,11.622,1.689,1.828,4
05043710-7038128,4.457,16.983,15.294,13.526,11.772,1.689,1.768,0
05005397-7015560,3.942,17.717,16.027,14.497,12.95,1.69,1.53,4
05033207-6846217,3.861,17.848,16.158,14.694,13.195,1.69,1.464,4
04592581-7119477,3.57,18.799,17.109,15.519,13.91,1.69,1.59,4
05041920-7041323,4.201,17.591,15.901,14.241,12.327,1.69,1.66,4
05082028-6809351,3.865,17.831,16.141,14.61,13.092,1.69,1.531,4
04522822-7012254,3.915,17.989,16.299,14.714,13.138,1.69,1.585,4
05321439-7032081,4.131,17.398,15.707,13.917,12.675,1.691,1.79,4
04504591-7017113,3.81,18.368,16.677,14.99,13.477,1.691,1.687,4
05195862-6800033,4.937,16.535,14.844,12.862,10.606,1.691,1.982,0
05493063-6710194,4.023,18.036,16.345,14.71,12.863,1.691,1.635,4
05425940-6709441,3.668,18.635,16.944,15.363,13.734,1.691,1.581,4
05111660-6847100,4.353,17.355,15.663,13.89,12.352,1.692,1.773,4
05273488-7144522,4.093,17.555,15.863,14.252,12.623,1.692,1.611,4
05353738-7118208,3.976,17.982,16.29,14.619,13.009,1.692,1.671,4
05124286-6900378,3.535,19.077,17.385,15.726,14.212,1.692,1.659,4
05273673-7001537,3.751,18.206,16.513,14.988,13.495,1.693,1.525,0
05153729-6707123,4.926,16.157,14.464,12.298,10.218,1.693,2.166,2
05102628-6644165,4.701,16.564,14.871,13.044,11.18,1.693,1.827,0
04552419-6930081,4.145,17.453,15.76,14.182,12.56,1.693,1.578,4
05451813-6800595,4.062,17.51,15.817,14.309,12.883,1.693,1.508,4
05070522-7103517,4.004,17.934,16.241,14.548,12.89,1.693,1.693,4
05072926-6735273,4.094,17.772,16.078,14.375,12.59,1.694,1.703,0
04532323-7028129,3.931,17.894,16.2,14.585,12.956,1.694,1.615,0
05425996-7014249,3.902,18.136,16.442,14.734,13.208,1.694,1.708,4
05215127-6859201,3.78,18.269,16.575,15.048,13.524,1.694,1.527,0
05382835-7021547,3.549,18.886,17.192,15.571,14.29,1.694,1.621,4
05420391-6645500,3.703,18.152,16.458,14.996,13.565,1.694,1.462,4
05024197-6856592,3.612,18.429,16.734,15.289,13.913,1.695,1.445,4
04564437-7035391,4.226,17.473,15.778,14.13,12.371,1.695,1.648,4
04544606-6637069,4.503,16.966,15.271,13.435,9.866,1.695,1.836,4
04453007-6853428,3.783,18.328,16.633,15.029,13.438,1.695,1.604,0
04530530-6716573,4.579,17.243,15.547,13.736,11.603,1.696,1.811,4
04583788-6935355,3.681,18.229,16.533,15.057,13.642,1.696,1.476,4
05104201-6908327,3.698,18.113,16.417,14.99,13.695,1.696,1.427,4
05134319-6857506,4.153,17.192,15.496,13.932,12.491,1.696,1.564,4
05042077-6917542,3.992,17.502,15.806,14.237,12.782,1.696,1.569,4
05393180-6842345,4.17,17.684,15.988,14.078,11.399,1.696,1.91,4
05334984-7127114,3.892,17.937,16.241,14.67,13.076,1.696,1.571,4
05411564-7025261,3.878,17.896,16.2,14.458,13.284,1.696,1.742,4
05184509-6850396,3.791,18.057,16.36,14.843,13.374,1.697,1.517,0
04460313-6904494,3.769,18.208,16.511,15.021,13.436,1.697,1.49,4
04500627-6948303,4.171,17.611,15.914,14.261,12.378,1.697,1.653,4
04533447-6743152,4.461,17.013,15.316,13.601,99.999,1.697,1.715,4
05045029-7147456,3.745,18.109,16.412,14.851,13.295,1.697,1.561,4
04493275-6950073,3.831,17.946,16.249,14.819,13.309,1.697,1.43,4
05260885-6949029,3.703,18.231,16.534,15.255,13.791,1.697,1.279,4
05313364-6705286,4.224,17.048,15.35,13.75,10.911,1.698,1.6,4
05304602-6914251,3.961,17.96,16.262,14.657,13.055,1.698,1.605,4
04470787-6921160,3.848,18.227,16.529,14.893,13.226,1.698,1.636,4
05092896-6850135,3.793,18.521,16.823,15.023,13.541,1.698,1.8,0
04574182-6830471,3.669,18.229,16.53,14.989,13.549,1.699,1.541,4
05050671-7044055,3.674,18.479,16.78,15.188,13.639,1.699,1.592,4
05342929-6924179,3.826,17.931,16.232,14.726,13.3,1.699,1.506,4
05032304-6859461,3.853,18.221,16.522,14.884,13.325,1.699,1.638,4
05080949-6916414,3.735,18.12,16.421,14.818,13.435,1.699,1.603,4
05162808-6631281,3.904,18.229,16.529,14.908,13.17,1.7,1.621,0
05111831-6526086,5.224,15.824,14.124,12.091,99.999,1.7,2.033,4
05290319-6901060,4.312,17.187,15.487,13.864,99.999,1.7,1.623,0
05265543-7116164,4.264,18.825,17.124,15.364,12.601,1.701,1.76,4
05094157-6833362,4.032,17.661,15.96,14.271,12.75,1.701,1.689,4
05373052-6649317,3.949,17.73,16.029,14.516,12.752,1.701,1.513,4
04512338-7017020,3.836,18.052,16.351,14.743,13.319,1.701,1.608,4
05015385-7030535,3.653,18.17,16.469,15.034,13.813,1.701,1.435,4
05412489-7007226,3.836,18.053,16.35,14.734,13.24,1.703,1.616,4
05045985-6605441,3.671,18.211,16.508,15.121,13.642,1.703,1.387,0
05254942-6717581,3.693,18.471,16.768,15.16,13.643,1.703,1.608,0
05212207-6935407,3.598,18.423,16.72,15.316,14.059,1.703,1.404,4
05403050-6801082,3.648,18.385,16.682,15.164,13.73,1.703,1.518,4
05271149-6616225,3.97,17.776,16.072,14.556,12.679,1.704,1.516,0
05081842-6959231,3.831,17.998,16.294,14.648,13.099,1.704,1.646,0
05231400-6610576,3.728,18.379,16.675,15.198,13.643,1.704,1.477,0
04582028-6724325,3.665,18.505,16.801,15.209,13.732,1.704,1.592,4
05342761-6740499,3.628,18.483,16.779,15.339,13.771,1.704,1.44,4
04561162-7041049,4.166,17.522,15.817,14.18,12.343,1.705,1.637,4
05330382-6846334,3.78,18.569,16.864,15.194,13.545,1.705,1.67,4
04565897-6649118,3.55,18.776,17.071,15.503,13.955,1.705,1.568,0
05213209-6615219,3.846,18.527,16.822,15.145,13.404,1.705,1.677,4
05004663-7033421,4.008,17.581,15.875,14.332,12.813,1.706,1.543,4
04513304-7002301,3.886,17.973,16.267,14.742,13.208,1.706,1.525,4
05201175-7105423,3.672,18.949,17.243,15.465,13.737,1.706,1.778,0
05044510-6809084,4.464,16.842,15.135,13.394,11.767,1.707,1.741,0
05373154-6603352,4.331,17.113,15.406,13.85,99.999,1.707,1.556,4
05015623-7025011,3.784,18.062,16.355,14.833,13.3,1.707,1.522,4
05454445-6658306,3.768,18.065,16.358,14.934,13.496,1.707,1.424,4
05051353-6849303,3.721,18.276,16.569,15.045,13.616,1.707,1.524,0
05095537-6846592,3.645,18.386,16.679,15.02,13.75,1.707,1.659,4
05104485-7004180,3.564,18.452,16.745,15.178,13.8,1.707,1.567,0
05343194-6818237,3.66,18.337,16.629,15.116,13.675,1.708,1.513,4
05422099-6718530,4.594,17.244,15.536,13.7,11.533,1.708,1.836,4
04581103-6651180,4.295,17.622,15.914,14.1,12.195,1.708,1.814,4
05401363-6826276,4.702,17.163,15.454,13.626,11.331,1.709,1.828,4
04492541-6856193,3.795,18.068,16.359,14.882,13.324,1.709,1.477,4
05060260-7150160,3.745,18.18,16.471,14.95,13.385,1.709,1.521,4
04473133-6903399,3.665,18.528,16.819,15.252,13.693,1.709,1.567,4
05160645-6748273,3.883,18.159,16.449,14.775,13.145,1.71,1.674,0
05043129-6856372,3.667,18.47,16.76,15.286,13.75,1.71,1.474,0
05425784-6909130,3.841,18.18,16.47,14.916,13.306,1.71,1.554,4
05255275-6633512,3.812,18.474,16.764,15.142,13.578,1.71,1.622,0
05202086-6942265,3.664,18.168,16.458,15.071,13.627,1.71,1.387,0
05023786-6936066,3.774,18.241,16.53,14.943,13.438,1.711,1.587,4
05145894-7034481,3.842,17.919,16.208,14.707,13.334,1.711,1.501,0
05452692-6754558,3.703,18.335,16.624,15.109,13.8,1.711,1.515,4
05085826-6920367,3.789,18.18,16.468,14.864,13.624,1.712,1.604,0
05035127-6849092,3.631,18.123,16.411,15.094,13.718,1.712,1.317,4
05172183-6931301,3.629,18.441,16.729,15.031,13.746,1.712,1.698,0
05054950-6902533,3.687,18.255,16.543,15.099,13.748,1.712,1.444,0
05221992-7001200,3.604,18.745,17.033,15.338,13.77,1.712,1.695,4
05393649-7000034,3.581,19.124,17.412,15.701,14.089,1.712,1.711,4
04570952-7048042,3.732,18.455,16.742,15.128,13.567,1.713,1.614,4
04541386-6708122,4.222,17.463,15.75,14.044,12.691,1.713,1.706,3
05111554-6926341,3.83,18.225,16.512,14.86,13.348,1.713,1.652,0
05410817-6955459,4.648,16.61,14.896,13.183,11.185,1.714,1.713,4
04432848-6914558,3.775,18.251,16.537,14.993,13.557,1.714,1.544,0
05363524-6803363,4.198,17.265,15.55,13.982,12.333,1.715,1.568,4
05073061-6844429,3.989,17.308,15.593,14.024,12.487,1.715,1.569,4
04533222-7036436,3.872,18.024,16.309,14.806,13.223,1.715,1.503,4
05272566-6830051,3.892,18.413,16.698,14.969,13.245,1.715,1.729,4
05151740-6928251,3.804,18.415,16.7,14.867,13.281,1.715,1.833,0
05014809-6921445,3.676,18.27,16.555,15.066,13.645,1.715,1.489,4
05350293-6632597,4.356,17.301,15.585,13.816,10.54,1.716,1.769,4
05364460-6627172,3.678,18.775,17.059,15.492,13.801,1.716,1.567,4
05025417-6608323,4.251,17.326,15.61,13.925,11.268,1.716,1.685,0
04492289-6952063,3.818,18.209,16.493,14.903,13.351,1.716,1.59,4
04535125-6940278,3.743,18.25,16.534,14.944,13.503,1.716,1.59,4
05053221-7145385,3.947,18.11,16.393,14.665,12.966,1.717,1.728,0
05414674-6721045,3.81,18.218,16.501,14.931,13.406,1.717,1.57,4
05074789-6956565,3.718,18.485,16.768,15.107,13.555,1.717,1.661,0
05060944-6853347,3.591,18.408,16.691,15.309,13.929,1.717,1.382,4
05012527-7040088,4.094,17.403,15.685,14.112,12.697,1.718,1.573,4
05315958-6634107,4.2,17.291,15.573,13.94,11.574,1.718,1.633,4
04461680-6821302,4.323,17.32,15.602,13.956,12.272,1.718,1.646,3
05091525-6843552,3.834,18.201,16.483,14.82,13.311,1.718,1.663,0
05244144-7011516,3.721,18.86,17.142,15.398,13.684,1.718,1.744,0
05224178-6952274,3.606,18.583,16.865,15.326,13.877,1.718,1.539,4
05223339-6737248,3.944,18.037,16.318,14.672,13.09,1.719,1.646,4
05322741-6916526,5.07,16.223,14.504,12.616,10.145,1.719,1.888,4
05290070-6926440,4.499,17.073,15.354,13.646,11.868,1.719,1.708,0
04575584-6848530,3.848,18.355,16.636,14.961,13.289,1.719,1.675,4
04584578-6910348,3.562,18.631,16.912,15.422,13.982,1.719,1.49,4
05375075-6816244,5.081,15.723,14.004,12.126,99.999,1.719,1.878,2
05360451-6817170,4.376,17.08,15.36,13.58,11.912,1.72,1.78,4
05442018-6738136,3.757,18.59,16.87,15.219,13.651,1.72,1.651,4
05311400-7122318,3.599,18.737,17.017,15.485,13.94,1.72,1.532,4
05144421-6603249,3.547,19.067,17.347,15.701,14.089,1.72,1.646,4
05280004-6959423,3.944,18.289,16.569,14.969,13.097,1.72,1.6,0
04460385-6920112,4.164,17.724,16.003,14.307,12.467,1.721,1.696,0
05431052-6652457,3.87,17.986,16.265,14.741,13.33,1.721,1.524,4
04573378-6637127,3.736,18.276,16.555,15.025,13.489,1.721,1.53,4
05061295-6859350,3.68,18.392,16.671,15.176,13.771,1.721,1.495,0
05175483-6842338,3.635,18.451,16.73,15.193,13.81,1.721,1.537,0
05162339-6925041,3.902,17.923,16.201,14.687,13.016,1.722,1.514,0
05163748-6914467,3.849,18.111,16.389,14.828,13.048,1.722,1.561,0
05293342-6915573,3.59,18.56,16.837,15.329,13.918,1.723,1.508,4
04580381-7053215,3.558,18.904,17.181,15.531,13.991,1.723,1.65,4
04594094-7005059,3.804,17.928,16.205,14.734,13.284,1.723,1.471,4
05235495-6653466,3.735,18.224,16.5,15.019,13.604,1.724,1.481,0
05402469-6924588,3.627,18.695,16.971,15.448,13.884,1.724,1.523,4
05155789-6917464,3.742,18.714,16.989,15.345,13.352,1.725,1.644,4
05361764-6659152,3.735,18.146,16.421,14.958,13.504,1.725,1.463,4
05331348-7143477,3.679,18.3,16.575,15.145,13.662,1.725,1.43,4
04534248-6716175,4.093,17.487,15.761,14.163,12.604,1.726,1.598,4
05283210-6929084,4.129,17.933,16.207,14.457,12.677,1.726,1.75,0
04561331-6929291,3.981,17.933,16.207,14.595,13.012,1.726,1.612,0
05234311-6718590,3.922,17.968,16.242,14.665,13.033,1.726,1.577,4
05031373-6732340,3.732,18.157,16.431,14.991,13.486,1.726,1.44,0
05171876-6853129,3.629,18.34,16.614,15.1,13.833,1.726,1.514,4
05330376-6919411,4.63,17.324,15.598,13.696,11.581,1.726,1.902,4
05080827-7004230,4.082,17.649,15.923,14.346,99.999,1.726,1.577,2
05223721-6924182,3.863,17.966,16.24,14.678,13.197,1.726,1.562,4
05490019-7040273,4.025,17.77,16.043,14.393,12.873,1.727,1.65,4
04484797-6850266,3.857,18.155,16.428,14.814,13.2,1.727,1.614,4
05463166-6713066,3.803,18.103,16.376,14.895,13.444,1.727,1.481,4
04490245-6730301,3.607,18.587,16.86,15.337,13.83,1.727,1.523,4
05411130-6713352,3.624,18.485,16.758,15.248,13.845,1.727,1.51,4
05300262-7102177,3.857,18.098,16.37,14.8,13.275,1.728,1.57,0
05535004-6816464,3.575,18.682,16.954,15.398,13.972,1.728,1.556,4
05041665-6626089,4.421,16.744,15.016,13.416,11.755,1.728,1.6,1
05462938-6716119,4.027,17.689,15.961,14.335,12.795,1.728,1.626,4
05304710-6643157,5.154,16.099,14.371,12.439,99.999,1.728,1.932,4
05112407-7150168,3.685,18.393,16.665,15.108,13.586,1.728,1.557,0
05261680-6859459,3.606,18.771,17.043,15.545,13.925,1.728,1.498,4
05315805-6913534,4.723,16.973,15.244,13.366,11.218,1.729,1.878,4
05055529-6919243,3.883,18.055,16.326,14.765,13.1,1.729,1.561,0
05181037-6956551,3.656,18.179,16.45,14.936,13.332,1.729,1.514,4
05444862-6829394,3.833,18.366,16.637,15.038,13.391,1.729,1.599,4
05423276-7014111,3.746,18.342,16.613,15.116,13.575,1.729,1.497,4
04481408-6957563,3.617,18.683,16.954,15.324,13.781,1.729,1.63,4
05164752-6725491,4.15,17.969,16.24,14.444,12.518,1.729,1.796,0
05174459-7001096,3.605,18.716,16.987,15.453,13.795,1.729,1.534,0
05154474-6633559,3.869,18.033,16.303,14.794,13.213,1.73,1.509,0
05014461-6612362,4.215,17.406,15.675,14.03,12.01,1.731,1.645,4
05453384-6756455,3.99,17.839,16.108,14.525,13.055,1.731,1.583,4
05404342-6740197,3.864,18.301,16.57,14.935,13.419,1.731,1.635,4
05271349-7159400,3.676,18.386,16.655,15.055,13.68,1.731,1.6,0
05383237-6950421,3.833,18.436,16.705,15.094,13.311,1.731,1.611,4
05304471-7133295,3.717,18.279,16.548,15.074,13.557,1.731,1.474,2
05124637-6719379,5.177,16.869,15.137,12.998,9.604,1.732,2.139,4
04583569-6938366,3.928,17.732,16,14.467,12.977,1.732,1.533,4
04523265-6946084,3.779,18.399,16.667,15.063,13.526,1.732,1.604,4
05201722-7036337,3.725,18.211,16.478,15.148,13.517,1.733,1.33,0
05181396-6856100,4.364,17.724,15.991,14.299,12.275,1.733,1.692,0
05294581-6853524,3.673,18.281,16.548,15.131,13.705,1.733,1.417,4
05211633-7157041,3.597,18.421,16.688,15.288,13.738,1.733,1.4,4
05115258-7147219,3.555,19.127,17.394,15.685,13.892,1.733,1.709,4
05025413-6901024,3.573,18.387,16.654,15.212,14.079,1.733,1.442,4
05214794-6649030,4.019,17.799,16.065,14.472,12.729,1.734,1.593,0
04531595-6955403,4.046,17.834,16.1,14.37,12.806,1.734,1.73,4
05283517-6617394,3.706,18.241,16.507,15.074,13.53,1.734,1.433,4
05245751-6933444,3.595,18.252,16.518,15.104,13.99,1.734,1.414,4
05302455-6713202,4.66,16.525,14.791,13.072,99.999,1.734,1.719,1
04420642-6905298,3.885,18.202,16.468,14.795,13.204,1.734,1.673,4
05300118-6926270,4.009,17.383,15.648,14.14,12.841,1.735,1.508,4
05121585-6857350,3.997,17.865,16.13,14.419,12.929,1.735,1.711,0
04402177-6835339,3.776,18.334,16.599,14.998,13.355,1.735,1.601,0
05221368-6813364,3.613,18.377,16.642,15.18,13.766,1.735,1.462,0
04521664-7036430,3.977,17.887,16.151,14.556,12.963,1.736,1.595,4
05251108-6624534,3.957,18.084,16.348,14.702,13.079,1.736,1.646,4
04554678-7006584,4.027,18.019,16.282,14.575,12.816,1.737,1.707,4
04563697-6723501,4.067,17.751,16.014,14.363,12.939,1.737,1.651,4
04564670-6859412,3.574,18.69,16.953,15.366,13.947,1.737,1.587,4
05234358-6950282,3.929,17.806,16.068,14.672,13.079,1.738,1.396,4
05285565-6930111,3.686,18.282,16.544,14.983,13.63,1.738,1.561,0
04535098-6919191,3.642,18.53,16.792,15.264,13.79,1.738,1.528,4
05004366-6621228,4.135,17.482,15.743,14.187,12.095,1.739,1.556,4
05275112-6718039,4.819,16.813,15.074,13.246,99.999,1.739,1.828,0
05403693-6926203,4.895,17.023,15.284,13.366,99.999,1.739,1.918,4
04552788-6715169,4.173,17.497,15.758,14.088,12.492,1.739,1.67,4
05034428-6909001,3.946,17.86,16.121,14.435,13.155,1.739,1.686,4
05374583-6720552,4.579,16.943,15.204,13.446,99.999,1.739,1.758,4
05452997-6646253,4.143,18.167,16.428,14.699,99.999,1.739,1.729,4
05252091-6615322,4.092,17.609,15.869,14.233,12.473,1.74,1.636,4
05061610-7042436,4.128,17.969,16.229,14.406,12.5,1.74,1.823,4
05110845-6906096,3.585,18.478,16.738,15.34,13.945,1.74,1.398,0
04542838-6827408,4.02,17.778,16.037,14.412,12.746,1.741,1.625,4
05095740-6855213,3.998,17.706,15.965,14.344,13.004,1.741,1.621,4
05205100-6900132,3.738,18.293,16.552,14.99,13.56,1.741,1.562,0
04485681-6907460,3.613,18.588,16.847,15.396,13.908,1.741,1.451,4
05270631-6718132,4.038,17.819,16.077,14.35,12.271,1.742,1.727,0
