2MASS,logL,Umag,Bmag,Vmag,Imag,U-B,B-V,UV
05271535-6933424,4.108,15.161,14.943,13.838,12.644,0.218,1.105,4
05275015-6826587,4.156,15.55,15.328,14.03,12.489,0.222,1.298,3
04552579-6938378,4.741,14.923,14.694,13.276,11.318,0.229,1.418,4
05190326-6939552,5.31,13.443,13.214,11.756,99.999,0.229,1.458,0
05260108-6616191,5.088,14.444,14.198,12.706,99.999,0.246,1.492,1
05271018-6804201,3.594,16.589,16.338,15.156,13.783,0.251,1.182,3
05132774-6840396,4.148,15.545,15.292,14.072,12.574,0.253,1.22,0
05301088-6655119,4.707,14.473,14.22,12.993,99.999,0.253,1.227,2
05193884-6718156,3.809,16.148,15.893,14.562,13.187,0.255,1.331,3
04551683-6812019,3.801,15.369,15.113,14.097,12.781,0.256,1.016,4
05202337-6758065,3.762,16.497,16.236,14.843,13.428,0.261,1.393,3
05243933-6740032,4.046,15.936,15.672,14.327,12.311,0.264,1.345,3
05021945-6705235,4.012,15.816,15.552,14.137,12.697,0.264,1.415,3
05265487-6708346,3.894,15.916,15.651,14.4,12.554,0.265,1.251,4
05303345-6717151,5.016,14.003,13.734,12.436,99.999,0.269,1.298,1
05322174-6714433,4.627,14.653,14.384,13.256,99.999,0.269,1.128,1
05284718-6959081,3.776,15.861,15.587,14.965,13.547,0.274,0.622,4
05034154-6600432,4.198,15.459,15.183,13.925,11.478,0.276,1.258,3
05274078-6717503,4.544,15.583,15.297,13.721,99.999,0.286,1.576,3
04592689-6725129,3.92,15.977,15.689,14.408,12.952,0.288,1.281,3
05253252-6956146,3.657,16.37,16.077,15.247,13.674,0.293,0.83,0
05342870-6920566,3.669,16.538,16.244,15.047,13.706,0.294,1.197,4
05005246-6812358,4.177,15.712,15.417,14.023,12.439,0.295,1.394,2
05334223-6606186,4.72,15.26,14.965,13.46,99.999,0.295,1.505,3
04531843-6917030,4.887,14.433,14.134,12.936,10.786,0.299,1.198,3
05092413-6850532,3.603,16.306,16.004,14.766,13.768,0.302,1.238,0
05110949-6526252,4.471,15.109,14.804,13.352,11.658,0.305,1.452,1
05255546-6631494,4.208,15.984,15.675,14.228,12.125,0.309,1.447,0
05272456-6610447,4.026,16.101,15.781,14.529,12.407,0.32,1.252,2
04503613-6958546,3.777,15.92,15.597,14.337,13.23,0.323,1.26,1
05342672-6835265,4.289,15.524,15.197,13.77,10.735,0.327,1.427,3
05320634-6723265,4.569,14.643,14.314,13.116,99.999,0.329,1.198,2
04503392-6958497,3.708,16.199,15.866,14.745,13.521,0.333,1.121,2
05354380-6851209,5.056,14.603,14.264,12.506,10.523,0.339,1.758,2
05353001-6744418,3.91,16.235,15.895,14.63,13.146,0.34,1.265,3
04562322-6627118,5.09,14.757,14.409,12.56,99.999,0.348,1.849,2
05172787-6829477,3.99,15.367,15.014,14.054,12.755,0.353,0.96,0
05022146-6606382,5.113,13.321,12.963,11.019,10.414,0.358,1.944,4
04520767-7005501,3.661,16.493,16.132,15.027,13.679,0.361,1.105,4
05460987-6642015,4.351,15.592,15.229,14.168,11.416,0.363,1.061,3
04503201-7004115,4.011,16.322,15.954,14.565,12.889,0.368,1.389,3
04535794-7100530,3.937,16.623,16.244,14.811,13.114,0.379,1.433,3
05084703-6846364,3.798,16.99,16.604,15.124,13.43,0.386,1.48,4
05120554-6708420,4.182,15.943,15.549,14.03,12.364,0.394,1.519,3
04535025-6648516,4.328,15.852,15.457,13.968,12.276,0.395,1.489,3
05422839-6809412,4.497,15.713,15.317,13.709,11.742,0.396,1.608,2
05005066-6954536,3.929,16.312,15.911,14.613,12.891,0.401,1.298,3
05061020-6850014,3.61,16.648,16.244,15.066,13.819,0.404,1.178,4
05251987-7036579,3.637,16.467,16.061,14.985,13.697,0.406,1.076,3
05202071-6940511,4.639,15.273,14.864,13.296,11.378,0.409,1.568,4
05260821-6944255,3.833,15.988,15.577,14.324,12.372,0.411,1.253,4
04494147-6904402,3.698,17.108,16.696,15.341,13.709,0.412,1.355,4
05034285-6858089,3.712,16.58,16.164,14.69,13.508,0.416,1.474,4
05270350-6948378,3.796,16.164,15.748,14.847,13.256,0.416,0.901,0
05172027-6756436,3.658,16.88,16.463,15.084,13.674,0.417,1.379,3
05190509-6939234,4.915,14.793,14.374,13.136,10.666,0.419,1.238,0
04584652-6705334,3.915,16.311,15.886,14.563,12.935,0.425,1.323,3
05025490-6816098,3.829,16.39,15.962,14.606,13.188,0.428,1.356,3
04550884-6642045,3.928,16.06,15.63,14.292,12.976,0.43,1.338,3
05085969-6845436,3.756,17.253,16.823,14.133,14.211,0.43,2.69,0
05314139-6630148,4.224,15.672,15.235,13.876,99.999,0.437,1.359,3
05453171-6743225,3.687,17.109,16.669,15.225,13.816,0.44,1.444,4
04503648-6958477,3.711,16.222,15.779,14.507,13.417,0.443,1.272,2
05075306-6833529,4.173,15.806,15.361,13.936,12.333,0.445,1.425,0
05192428-6814522,3.882,16.524,16.079,14.507,13.016,0.445,1.572,0
04565699-6612517,3.981,16.466,16.015,14.676,12.948,0.451,1.339,3
04425441-6826500,4.162,16.274,15.821,14.205,12.306,0.453,1.616,4
05405586-6831289,3.654,16.592,16.138,14.974,13.675,0.454,1.164,3
05201164-6858482,3.971,16.1,15.643,14.367,12.917,0.457,1.276,0
05254903-6925009,3.734,16.486,16.028,14.579,13.585,0.458,1.449,0
04531604-6656157,3.857,16.574,16.111,14.781,13.24,0.463,1.33,3
05310038-6910475,4.944,15.543,15.078,13.802,99.999,0.465,1.276,2
05031067-6547137,4.51,15.393,14.926,13.406,11.68,0.467,1.52,3
05073126-6824368,3.658,16.767,16.299,15.027,13.693,0.468,1.272,0
05284380-6815046,3.996,16.318,15.847,14.451,12.801,0.471,1.396,3
05392848-7100447,3.862,16.998,16.524,15.019,13.389,0.474,1.505,3
05165132-6704125,3.902,16.666,16.188,14.681,13.057,0.478,1.507,3
04562182-7040564,3.714,16.846,16.367,14.998,13.551,0.479,1.369,4
04595165-6805572,3.785,16.801,16.319,14.786,13.273,0.482,1.533,3
05502618-6727447,3.88,16.056,15.573,14.395,13.148,0.483,1.178,3
05514350-6840150,3.95,16.257,15.773,14.465,12.97,0.484,1.308,3
05190614-6639442,3.626,16.967,16.482,15.054,13.727,0.485,1.428,3
05151421-6906269,4.131,16.021,15.536,14.152,12.588,0.485,1.384,0
05440242-6912545,3.665,16.378,15.892,14.918,13.686,0.486,0.974,4
05224310-7040422,3.645,16.671,16.185,14.984,13.705,0.486,1.201,3
04541751-6723584,3.768,16.759,16.271,14.855,13.39,0.488,1.416,3
05305508-6658056,4.482,15.399,14.898,13.491,99.999,0.501,1.407,3
05093639-6904545,4.485,15.895,15.391,13.763,11.751,0.504,1.628,4
05161615-6642507,3.618,16.915,16.409,15.182,13.685,0.506,1.227,3
05464773-7038135,3.646,18.439,17.93,16.524,14.657,0.509,1.406,4
05202053-6809108,4.05,16.23,15.72,14.302,12.559,0.51,1.418,3
04575079-6923297,4.127,15.666,15.155,13.658,12.446,0.511,1.497,1
05251568-6606448,4.094,16.254,15.742,14.309,11.758,0.512,1.433,3
05040982-7012176,4.918,14.923,14.404,12.916,99.999,0.519,1.488,1
04541677-6647503,4.023,16.327,15.807,14.402,12.811,0.52,1.405,3
05194381-6813513,4.116,16.255,15.733,14.181,12.515,0.522,1.552,3
05045392-6801585,4.268,15.84,15.315,13.69,12.2,0.525,1.625,2
05092650-7001304,3.763,16.666,16.139,14.852,13.351,0.527,1.287,3
05110427-6918467,4.617,15.343,14.814,13.306,11.055,0.529,1.508,4
04580834-7053418,3.663,16.842,16.312,14.974,13.656,0.53,1.338,3
05372792-6739498,3.629,17.307,16.774,15.398,13.885,0.533,1.376,4
05092360-6910437,4.3,16.411,15.874,14.279,12.837,0.537,1.595,0
04564632-6618353,3.862,16.83,16.292,14.921,13.255,0.538,1.371,4
04495370-6904339,3.956,16.351,15.813,14.512,13.037,0.538,1.301,3
