2MASS,logL,Umag,Bmag,Vmag,Imag,U-B,B-V,Classification,UV
05381601-6910112,5.121,99.999,16.798,15.037,99.999,83.201,1.761,0,4
05045253-7041578,5.016,14.143,14.824,13.306,10.297,-0.681,1.518,0,0
05412153-6913228,4.749,13.633,13.924,13.076,11.168,-0.291,0.848,0,2
05420389-6913074,4.766,14.063,14.354,13.296,99.999,-0.291,1.058,0,2
05290550-6718175,4.821,13.883,13.954,12.846,99.999,-0.071,1.108,0,4
05281859-6907348,4.898,13.943,14.014,12.886,9.378,-0.071,1.128,0,0
05374509-6920485,5.099,13.043,13.074,12.166,10.52,-0.031,0.908,0,2
05280004-6907424,4.719,15.453,14.814,13.106,99.999,0.639,1.708,0,0
05183040-6936218,4.595,15.333,14.604,13.136,12.615,0.729,1.468,0,4
05053934-7038446,4.573,15.793,14.864,13.326,11.395,0.929,1.538,0,4
05353296-6819323,4.518,16.153,15.144,13.486,11.557,1.009,1.658,0,3
04561739-6627297,4.915,15.599,14.561,12.827,9.91,1.038,1.734,0,2
05331113-6700380,4.379,16.026,14.929,13.391,9.876,1.097,1.538,0,4
05324407-6703406,4.501,16.123,14.964,13.356,99.999,1.159,1.608,0,4
05133288-6921425,5.034,15.783,14.584,12.646,10.278,1.199,1.938,0,4
05151642-6933065,5.113,15.833,14.504,12.616,99.999,1.329,1.888,0,0
04551604-6919120,5.268,15.709,14.344,12.876,10.038,1.365,1.468,0,2
05121313-6804555,5.4,15.32,13.888,11.617,99.999,1.432,2.271,0,0
05273964-6909012,5.081,13.123,13.334,12.186,99.999,-0.211,1.148,0,4
05053350-7033469,5.159,14.453,14.374,12.976,11.124,0.079,1.398,0,2
05045412-7033184,4.905,14.833,14.474,12.846,99.999,0.359,1.628,0,4
05300174-6928377,4.59,15.833,15.064,13.526,11.565,0.769,1.538,0,0
04562363-6942110,4.902,16.023,14.644,12.816,10.646,1.379,1.828,0,4
04562827-6940369,4.902,16.103,14.694,12.906,10.636,1.409,1.788,0,4
05075243-7026045,4.887,12.393,13.074,12.686,10.727,-0.681,0.388,1,1
05365563-6853262,4.456,13.373,13.864,13.206,10.359,-0.491,0.658,1,1
05284117-6856049,4.785,14.313,14.264,13.196,99.999,0.049,1.068,1,1
05341836-6902180,4.521,14.983,14.674,13.426,99.999,0.309,1.248,1,3
05284548-6858022,5.21,14.573,13.854,12.206,99.999,0.719,1.648,1,2
05263479-6851400,5.29,12.903,13.374,12.296,99.999,-0.471,1.078,1,1
05295494-6718367,5.14,13.753,13.694,12.506,99.999,0.059,1.188,1,1
05170897-6932211,5.084,15.123,14.854,13.346,99.999,0.269,1.508,1,4
05414402-6912027,4.86,14.823,14.234,13.106,9.399,0.589,1.128,1,2
05043378-6806235,4.302,13.58,14.29,13.536,12.149,-0.71,0.754,1,1
04595731-6748133,4.698,13.853,14.064,13.176,99.999,-0.211,0.888,1,1
05030232-6847203,4.272,14.576,14.709,13.612,11.654,-0.133,1.097,1,4
05083180-6853372,4.305,15.999,15.847,14.253,12.386,0.152,1.594,1,0
05300119-6956382,4.4,15.283,14.628,13.406,12.01,0.655,1.222,1,0
05263040-6948033,4.269,17.985,16.085,14.683,13.531,1.9,1.402,1,4
05292143-6900202,99.999,99.999,99.999,12.016,99.999,99.999,99.999,1,1
05274747-6913205,5.16,99.999,99.999,12.736,99.999,99.999,99.999,1,0
05353280-6904191,4.904,14.933,14.634,13.126,99.999,0.299,1.508,1,3
05275113-6910460,4.916,14.313,13.994,12.596,99.999,0.319,1.398,1,4
05322537-6700219,4.662,11.662,12.205,12.253,99.999,-0.543,-0.048,1,4
05032723-6709129,4.429,13.223,13.926,13.192,11.651,-0.703,0.734,1,1
05402876-6915321,4.973,11.923,12.564,12.066,10.557,-0.641,0.498,1,2
05270424-6726065,4.959,12.083,12.714,12.286,99.999,-0.631,0.428,1,1
05342683-6659583,4.838,12.795,13.252,12.614,99.999,-0.457,0.638,1,2
05284914-6727256,4.541,13.423,13.814,13.106,99.999,-0.391,0.708,1,1
05324723-6621526,4.684,13.773,14.127,13.078,99.999,-0.354,1.049,1,1
04524274-6922061,4.459,14.239,14.572,13.537,11.799,-0.333,1.035,1,1
04501563-6835019,4.53,14.593,14.9,13.581,11.703,-0.307,1.319,1,2
05203947-6919310,4.505,13.913,14.094,13.276,11.61,-0.181,0.818,1,4
04561441-6623167,4.492,14.685,14.807,13.5,99.999,-0.122,1.307,1,1
05294707-6714161,4.432,14.383,14.464,13.516,99.999,-0.081,0.948,1,2
04523565-7040427,4.818,14.193,14.204,13.006,10.803,-0.011,1.198,1,1
05092738-6831398,4.743,14.543,14.394,13.186,11.227,0.149,1.208,1,4
05415741-6912182,4.78,14.293,14.074,12.806,99.999,0.219,1.268,1,2
05292757-6908502,5.338,14.223,13.954,12.286,99.999,0.269,1.668,1,4
04490536-6747133,5.156,14.297,13.833,12.043,99.999,0.464,1.79,1,1
05285982-6717210,4.634,14.703,14.234,12.986,99.999,0.469,1.248,1,2
05302094-6720054,5.335,14.873,14.354,12.786,99.999,0.519,1.568,1,2
05205600-6528352,5.013,15.21,14.633,12.662,99.999,0.577,1.971,1,2
05241895-7026030,4.939,15.07,14.327,12.595,10.438,0.743,1.732,1,2
05040849-7014253,4.554,15.593,14.774,13.196,11.267,0.819,1.578,1,2
05050732-7006123,4.947,15.253,14.424,12.716,10.547,0.829,1.708,1,2
04543854-6911170,5.255,15.963,15.064,13.246,9.846,0.899,1.818,1,3
05272969-6714131,5.094,15.323,14.394,12.856,99.999,0.929,1.538,1,0
05272458-6653518,4.906,15.304,14.357,12.632,11.33,0.947,1.725,1,3
05390424-6936039,4.984,16.208,15.224,13.34,99.999,0.984,1.884,1,4
05355196-6922290,4.873,15.733,14.604,12.806,99.999,1.129,1.798,1,4
05130492-6713314,4.671,13.826,14.243,13.004,11.049,-0.417,1.239,1,1
05185633-6756138,5.24,13.565,13.816,12.534,10.163,-0.251,1.282,1,1
05260034-7135488,5.055,14.158,14.302,12.864,10.631,-0.144,1.438,1,1
05294618-6837024,4.737,14.932,14.926,13.668,99.999,0.006,1.258,1,2
05360634-6856407,4.881,14.633,14.364,12.926,99.999,0.269,1.438,1,2
05291137-6628091,4.36,14.668,14.936,13.732,11.002,-0.268,1.204,1,2
05230392-6704254,4.809,15.348,14.553,13.046,99.999,0.795,1.507,1,3
05312426-6841336,4.777,13.953,14.124,13.066,11.727,-0.171,1.058,1,1
