Umag,Bmag,Vmag,Imag,U-B,B-V,UV
16.466,16.015,14.676,12.948,0.451,1.339,3
16.274,15.821,14.205,12.306,0.453,1.616,4
16.592,16.138,14.974,13.675,0.454,1.164,3
16.1,15.643,14.367,12.917,0.457,1.276,0
16.486,16.028,14.579,13.585,0.458,1.449,0
16.574,16.111,14.781,13.24,0.463,1.33,3
15.543,15.078,13.802,99.999,0.465,1.276,2
15.393,14.926,13.406,11.68,0.467,1.52,3
16.767,16.299,15.027,13.693,0.468,1.272,0
16.318,15.847,14.451,12.801,0.471,1.396,3
16.998,16.524,15.019,13.389,0.474,1.505,3
16.666,16.188,14.681,13.057,0.478,1.507,3
16.846,16.367,14.998,13.551,0.479,1.369,4
16.801,16.319,14.786,13.273,0.482,1.533,3
16.056,15.573,14.395,13.148,0.483,1.178,3
16.257,15.773,14.465,12.97,0.484,1.308,3
16.967,16.482,15.054,13.727,0.485,1.428,3
16.021,15.536,14.152,12.588,0.485,1.384,0
16.378,15.892,14.918,13.686,0.486,0.974,4
16.671,16.185,14.984,13.705,0.486,1.201,3
16.759,16.271,14.855,13.39,0.488,1.416,3
15.399,14.898,13.491,99.999,0.501,1.407,3
15.895,15.391,13.763,11.751,0.504,1.628,4
16.915,16.409,15.182,13.685,0.506,1.227,3
18.439,17.93,16.524,14.657,0.509,1.406,4
16.23,15.72,14.302,12.559,0.51,1.418,3
15.666,15.155,13.658,12.446,0.511,1.497,1
16.254,15.742,14.309,11.758,0.512,1.433,3
14.923,14.404,12.916,99.999,0.519,1.488,1
16.327,15.807,14.402,12.811,0.52,1.405,3
16.255,15.733,14.181,12.515,0.522,1.552,3
15.84,15.315,13.69,12.2,0.525,1.625,2
16.666,16.139,14.852,13.351,0.527,1.287,3
15.343,14.814,13.306,11.055,0.529,1.508,4
16.842,16.312,14.974,13.656,0.53,1.338,3
17.307,16.774,15.398,13.885,0.533,1.376,4
16.411,15.874,14.279,12.837,0.537,1.595,0
16.83,16.292,14.921,13.255,0.538,1.371,4
16.351,15.813,14.512,13.037,0.538,1.301,3
16.299,15.756,14.274,12.452,0.543,1.482,0
15.234,14.691,12.598,99.999,0.543,2.093,0
15.58,15.033,13.285,10.952,0.547,1.748,2
16.389,15.838,15.054,13.736,0.551,0.784,4
16.966,16.414,15.034,13.603,0.552,1.38,3
16.59,16.034,14.589,12.971,0.556,1.445,0
14.843,14.284,12.856,99.999,0.559,1.428,4
16.629,16.069,14.704,13.288,0.56,1.365,0
16.445,15.884,14.271,99.999,0.561,1.613,4
16.682,16.12,14.981,13.531,0.562,1.139,4
16.863,16.301,15.104,13.604,0.562,1.197,3
16.642,16.079,14.882,13.484,0.563,1.197,0
16.85,16.287,14.944,99.999,0.563,1.343,3
15.988,15.424,13.712,11.715,0.564,1.712,3
15.96,15.392,14.565,13.113,0.568,0.827,0
16.287,15.715,14.4,13.095,0.572,1.315,3
16.815,16.242,14.747,12.933,0.573,1.495,0
17.009,16.435,14.978,13.318,0.574,1.457,4
